Customer_ID,Age,Loyalty_Tier,Credit_Score,Tenure_Months,Last_Login_Days_Ago,Total_Orders,Total_Revenue,Avg_Order_Value,Total_Quantity,Recency_Days,Total_Tickets,Avg_Satisfaction,Escalation_Rate,Campaigns_Received,Campaign_Open_Rate,Campaign_Click_Rate,Campaign_Response_Rate,Total_Sessions,Avg_Pages_Viewed,Cart_Rate,Web_Purchase_Rate,Churn_Flag,Future_VIP_Flag,Customer_Lifetime_Value
C000001,36,Gold,561,74,16,4,79175.68,19793.92,10,365,2,4.0,0.0,2,0.0,0.0,0.0,6,7.83,0.667,0.5,0,1,99517.8
C000002,18,Gold,773,52,44,10,217064.36,21706.44,33,365,2,5.0,0.5,0,0.0,0.0,0.0,8,8.25,0.625,0.0,0,1,233743.31
C000003,42,Bronze,640,53,118,6,184845.42,30807.57,89,365,4,3.5,0.75,3,0.333,0.333,0.0,10,6.4,0.3,0.3,1,1,207706.73
C000004,37,Silver,801,8,0,3,91837.28,30612.43,5,365,3,4.0,0.0,3,0.667,0.333,0.333,8,9.38,0.75,0.625,0,0,104561.78
C000005,30,Silver,659,52,126,3,39718.23,13239.41,5,365,1,5.0,0.0,3,0.0,0.333,0.333,4,8.0,0.75,0.25,0,0,48705.81
C000006,35,Platinum,829,77,22,3,20090.96,6696.99,8,365,1,3.0,0.0,1,1.0,0.0,1.0,5,9.2,0.8,0.2,0,0,21832.09
C000007,35,Platinum,850,33,205,7,133710.25,19101.46,25,365,2,4.0,0.0,0,0.0,0.0,0.0,3,10.0,0.333,0.0,1,1,153395.95
C000008,27,Silver,555,32,8,6,74774.29,12462.38,14,365,2,4.5,0.0,1,0.0,0.0,0.0,4,7.75,0.5,0.25,1,1,86928.89
C000009,23,Bronze,624,101,122,8,164391.29,20548.91,22,365,1,3.0,0.0,0,0.0,0.0,0.0,8,7.25,0.375,0.125,1,1,190959.94
C000010,39,Bronze,644,94,27,2,60819.95,30409.98,7,365,3,4.0,0.0,4,0.5,0.5,0.0,4,4.25,0.25,0.5,1,0,73719.18
C000011,61,Bronze,706,48,57,8,235146.44,29393.3,19,365,2,3.5,0.5,2,0.0,0.5,0.0,7,6.57,0.429,0.143,0,1,307115.96
C000012,45,Bronze,709,21,37,6,65427.33,10904.56,13,365,1,4.0,1.0,3,0.333,0.0,0.333,8,6.75,0.5,0.25,1,0,78140.53
C000013,29,Bronze,591,62,22,4,512483.19,128120.8,56,365,3,3.67,0.333,2,0.0,0.0,0.0,7,5.57,0.286,0.0,1,1,544270.87
C000014,32,Silver,823,8,50,10,288533.43,28853.34,25,365,1,5.0,1.0,1,0.0,0.0,0.0,11,7.91,0.455,0.182,0,1,359115.37
C000015,31,Bronze,559,39,75,5,39061.71,7812.34,13,365,1,4.0,0.0,2,0.5,0.0,0.0,5,6.4,0.2,0.0,0,0,51345.55
