Customer_ID,Gender,Age,Marital_Status,City,State,Income_Bracket,Annual_Income,Occupation,Customer_Segment,Signup_Date,Loyalty_Tier,Preferred_Channel,App_User_Flag,Credit_Score,Household_Size,Tenure_Months,Last_Login_Days_Ago
C000001,Male,36,Married,Karnataka City 2,Karnataka,Medium,562331.0,Salaried,Deal Hunter,2020-06-08,Gold,Website,0,561,2,74,16
C000002,Female,18,Married,Maharashtra City 1,Maharashtra,Medium,1157676.0,Salaried,Value Seeker,2019-12-11,Gold,Mobile App,0,773,6,52,44
C000003,Male,42,Single,West Bengal City 3,West Bengal,Medium,668302.0,Salaried,Premium,2024-06-05,Bronze,Website,1,640,2,53,118
C000004,Male,37,Married,Kerala City 3,Kerala,Medium,1133097.0,Homemaker,Value Seeker,2021-04-24,Silver,Mobile App,1,801,4,8,0
C000005,Female,30,Single,Delhi City 2,Delhi,Low,438683.0,Salaried,Value Seeker,2018-08-09,Silver,Website,0,659,4,52,126
C000006,Female,35,Single,West Bengal City 1,West Bengal,Low,349604.0,Self Employed,Premium,2023-09-02,Platinum,Mobile App,1,829,1,77,22
C000007,Other,35,Married,Karnataka City 3,Karnataka,Medium,610246.0,Self Employed,Premium,2016-03-04,Platinum,Mobile App,0,850,2,33,205
C000008,Female,27,Married,Delhi City 1,Delhi,Medium,1091632.0,Salaried,Value Seeker,2019-03-30,Silver,Mobile App,0,555,2,32,8
C000009,Female,23,Single,Maharashtra City 2,Maharashtra,High,1823687.0,Salaried,Value Seeker,2023-11-09,Bronze,Website,1,624,3,101,122
C000010,Female,39,Single,West Bengal City 3,West Bengal,Medium,671429.0,Student,Regular,2019-05-16,Bronze,Website,1,644,1,94,27
C000011,Female,61,Married,Karnataka City 1,Karnataka,,1043724.0,Self Employed,Regular,2020-03-06,Bronze,Website,0,706,2,48,57
C000012,Female,45,Single,Maharashtra City 3,Maharashtra,Medium,1031500.0,,Regular,2016-12-08,Bronze,Mobile App,1,709,4,21,37
C000013,Male,29,Married,Maharashtra City 3,Maharashtra,Medium,727094.0,Self Employed,Regular,2017-01-30,Bronze,Physical Store,1,591,2,62,22
C000014,Female,32,Married,Delhi City 1,Delhi,High,2200817.0,Salaried,Regular,2025-02-05,Silver,Website,0,823,4,8,50
C000015,Female,31,Married,Karnataka City 2,Karnataka,Low,371417.0,Self Employed,Premium,2019-01-09,Bronze,Website,0,559,3,39,75
C000016,Female,33,Single,Telangana City 3,Telangana,Medium,5795134.710229823,Salaried,Premium,2025-03-08,Silver,Website,1,666,4,7,38
C000017,Female,27,Married,Delhi City 2,Delhi,Medium,772308.0,Salaried,Value Seeker,2018-06-27,Bronze,Mobile App,1,636,2,95,66
C000018,Female,37,Married,Tamil Nadu City 3,Tamil Nadu,Low,545116.0,Salaried,Regular,2016-06-26,Silver,Website,1,658,2,42,3
