Campaign_ID,Customer_ID,Campaign_Type,Send_Date,Opened,Clicked,Purchased,Campaign_Cost
M0000001,C030577,Push Notification,2024-05-16,0,1,0,13.36
M0000002,C025071,SMS,2023-10-02,1,0,1,5.99
M0000003,C047005,Email,2024-06-30,0,0,0,10.24
M0000004,C047534,Email,2024-10-21,1,1,0,10.03
M0000005,C008177,Push Notification,2024-09-21,0,0,1,7.66
M0000006,C024699,Push Notification,2024-02-05,0,0,0,17.49
M0000007,C012442,SMS,2024-03-27,0,0,0,11.34
M0000008,C019943,Push Notification,2025-09-09,0,0,0,17.34
M0000009,C018328,Email,2024-12-17,0,0,0,5.28
M0000010,C046507,Email,2023-05-11,0,0,0,3.57
M0000011,C028501,Social Media,2025-06-18,0,1,0,15.09
M0000012,C037651,Email,2023-09-24,0,0,0,17.66
M0000013,C005303,Push Notification,2025-03-13,1,1,0,14.8
M0000014,C010281,Push Notification,2023-10-20,0,0,0,11.56
M0000015,C029511,Push Notification,2024-04-03,0,0,0,20.66
M0000016,C027339,SMS,2024-09-26,0,0,0,16.2
M0000017,C047048,Social Media,2023-07-25,0,0,0,10.33
M0000018,C033033,Push Notification,2024-09-13,0,0,0,16.21
M0000019,C033770,SMS,2024-10-05,0,0,0,14.98
M0000020,C040604,SMS,2025-12-24,0,0,0,1.12
M0000021,C018858,SMS,2024-05-20,1,0,0,19.18
M0000022,C048939,SMS,2023-12-22,0,0,0,6.97
M0000023,C011304,SMS,2023-04-12,0,0,0,14.86
M0000024,C009847,Email,2024-11-29,1,1,0,0.86
M0000025,C009233,SMS,2024-07-14,0,0,0,15.18
M0000026,C017893,Email,2023-08-29,0,0,0,20.34
M0000027,C036085,Email,2025-02-28,1,0,1,18.32
M0000028,C042314,Push Notification,2025-06-11,1,0,0,16.66
M0000029,C046500,Email,2025-03-01,1,0,0,2.95
M0000030,C008327,Email,2024-02-15,0,0,0,6.23
M0000031,C013568,Social Media,2024-08-04,0,0,0,6.52
M0000032,C001126,Email,2024-12-01,0,0,0,15.51
M0000033,C024275,Email,2023-05-18,0,0,0,16.9
M0000034,C035374,Push Notification,2023-09-25,0,0,0,6.33
M0000035,C042966,Push Notification,2025-05-30,0,0,0,18.35
M0000036,C048270,SMS,2023-02-23,0,0,0,2.7
M0000037,C045237,Push Notification,2023-01-20,0,0,1,17.71
M0000038,C028875,Push Notification,2024-05-27,0,0,0,5.41
M0000039,C022465,Email,2023-05-08,0,0,0,15.65
M0000040,C005290,SMS,2023-05-13,0,0,0,13.69
M0000041,C038898,Email,2023-03-22,0,0,0,21.87
M0000042,C039129,Email,2025-06-29,0,0,0,4.95
M0000043,C040661,Email,2023-08-23,0,0,0,11.78
M0000044,C034989,Push Notification,2025-12-02,0,1,0,14.97
M0000045,C019337,Social Media,2023-05-17,0,0,0,5.46
M0000046,C042328,Email,2024-07-29,0,0,0,14.59
M0000047,C025334,Email,2025-11-07,0,0,0,8.5
M0000048,C002100,Push Notification,2024-03-03,0,0,0,6.53
M0000049,C005696,Email,2024-11-07,0,0,0,21.69
M0000050,C020381,Push Notification,2024-11-14,0,0,0,5.3
M0000051,C031147,Email,2023-12-01,0,0,0,4.23
M0000052,C045897,Email,2025-05-07,1,0,0,12.64
M0000053,C015105,Email,2023-11-25,0,0,0,10.42
M0000054,C013340,Email,2023-01-03,1,0,0,10.01
M0000055,C013049,Email,2023-03-20,1,0,0,6.53
M0000056,C002087,SMS,2023-08-15,0,0,0,19.73
M0000057,C038634,Push Notification,2024-12-29,0,0,1,15.78
M0000058,C000488,Email,2023-02-08,1,1,1,9.34
M0000059,C043906,Email,2023-12-25,0,0,0,7.16
M0000060,C011659,Push Notification,2025-05-07,0,0,0,3.44
M0000061,C040566,Push Notification,2024-11-28,0,0,0,12.94
M0000062,C040862,Social Media,2023-09-17,0,0,0,12.56
M0000063,C046168,Email,2025-01-30,0,0,0,19.5
M0000064,C001228,Push Notification,2024-11-16,1,0,0,1.56
M0000065,C008332,SMS,2024-12-07,1,0,0,18.69
M0000066,C025031,Email,2023-05-08,0,0,0,1.81
M0000067,C000908,Email,2024-11-19,0,0,1,6.12
M0000068,C045739,Email,2025-10-09,0,0,0,18.09
M0000069,C037258,SMS,2023-07-20,0,0,0,20.81
M0000070,C029599,SMS,2024-02-13,0,0,0,6.05
M0000071,C007489,Push Notification,2023-01-29,0,0,0,20.67
M0000072,C040427,Push Notification,2025-06-19,0,0,0,16.96
M0000073,C020308,SMS,2025-08-21,0,1,0,19.32
M0000074,C032280,Email,2023-05-06,1,0,0,9.46
M0000075,C010963,Email,2024-09-09,0,0,0,5.26
M0000076,C002355,Email,2025-01-01,0,0,0,7.92
M0000077,C045457,Push Notification,2023-01-17,1,1,0,17.88
M0000078,C008854,SMS,2023-03-05,0,1,0,3.23
M0000079,C003719,Push Notification,2025-07-24,0,0,0,5.5
M0000080,C020939,Email,2024-09-27,1,0,0,19.98
M0000081,C017025,SMS,2023-01-27,0,0,0,9.8
M0000082,C034422,Push Notification,2024-09-25,0,0,1,4.8
M0000083,C000531,SMS,2024-12-19,0,0,0,21.45
M0000084,C029282,Email,2023-03-30,0,0,0,16.16
M0000085,C022593,Email,2025-07-25,0,0,0,16.19
M0000086,C042902,Email,2025-09-21,0,0,0,18.82
M0000087,C016360,Email,2025-06-26,1,0,0,16.7
M0000088,C001285,Push Notification,2025-05-06,0,0,0,12.64
M0000089,C037297,SMS,2024-02-15,1,0,0,17.08
M0000090,C043099,Email,2023-07-05,1,0,0,7.26
M0000091,C018369,SMS,2024-08-14,1,0,0,5.38
M0000092,C027126,SMS,2024-01-17,0,0,0,2.85
M0000093,C024708,SMS,2024-07-02,0,0,0,4.9
M0000094,C049478,Push Notification,2023-09-15,0,0,0,7.91
M0000095,C005320,Social Media,2024-11-22,0,1,0,11.48
M0000096,C048129,Email,2024-11-05,0,1,0,5.18
M0000097,C029564,Push Notification,2023-03-27,0,0,0,6.86
M0000098,C012784,Email,2024-01-31,1,0,0,9.04
M0000099,C028515,Email,2024-08-28,1,0,0,11.07
M0000100,C035932,Push Notification,2025-10-23,0,0,0,16.39
M0000101,C014457,SMS,2025-07-28,0,0,0,2.02
M0000102,C038818,Email,2025-04-14,1,0,0,16.9
M0000103,C028293,SMS,2025-11-26,0,1,0,6.11
M0000104,C010282,Email,2025-08-18,0,0,0,7.15
M0000105,C037006,Push Notification,2023-11-01,0,0,0,14.59
M0000106,C013910,Email,2023-05-24,0,0,1,14.55
M0000107,C044415,Push Notification,2024-12-30,1,0,0,18.73
M0000108,C042123,Email,2024-08-04,0,0,0,14.67
M0000109,C001856,Email,2025-09-21,0,0,0,7.08
M0000110,C010351,Email,2024-01-02,0,0,0,16.71
M0000111,C012247,SMS,2023-02-04,1,0,0,0.93
M0000112,C041763,SMS,2023-09-07,0,0,0,16.28
M0000113,C034290,Email,2024-07-17,0,0,0,21.86
M0000114,C045632,Email,2024-10-05,1,1,0,17.42
M0000115,C037144,Push Notification,2025-07-20,0,0,0,14.95
M0000116,C025206,Email,2023-01-02,1,0,0,8.37
M0000117,C018199,SMS,2025-12-06,0,0,0,10.55
M0000118,C018060,Email,2023-11-18,0,0,0,20.13
M0000119,C018033,SMS,2024-10-01,0,0,0,4.49
M0000120,C015034,Social Media,2025-06-21,0,0,0,6.31
M0000121,C013896,Push Notification,2025-09-29,0,0,0,3.11
M0000122,C046865,Push Notification,2025-02-08,1,1,0,18.68
M0000123,C028040,Push Notification,2024-04-27,0,1,0,3.86
M0000124,C022757,Social Media,2023-11-21,1,0,0,3.53
M0000125,C003313,Email,2024-08-04,1,0,1,12.58
M0000126,C005717,Push Notification,2023-09-19,1,0,0,16.48
