Session_ID,Customer_ID,Visit_Date,Device_Type,Traffic_Source,Pages_Viewed,Session_Duration,Added_To_Cart,Purchased,Purchase_After_Cart
WEB00000001,C005389,2023-05-13,Android,Organic,2,13.5,1,0,0
WEB00000002,C018911,2023-09-24,Android,Organic,3,2.9,0,0,0
WEB00000003,C023172,2023-04-03,Android,Direct,10,10.9,1,1,1
WEB00000004,C048564,2023-01-20,iOS,Paid Search,10,9.2,1,0,0
WEB00000005,C047040,2025-09-16,iOS,Organic,12,3.2,0,0,0
WEB00000006,C024578,2023-03-28,Android,Paid Search,6,6.0,1,1,1
WEB00000007,C003493,2024-10-31,Android,Organic,7,6.7,1,1,1
WEB00000008,C031775,2024-04-03,iOS,Direct,6,20.6,0,0,0
WEB00000009,C032270,2025-08-30,iOS,Social,9,6.2,1,0,0
WEB00000010,C029902,2023-03-01,Tablet,Direct,5,14.2,1,1,1
WEB00000011,C041646,2025-11-24,iOS,Organic,12,11.8,1,0,0
WEB00000012,C042269,2024-02-28,Android,Organic,9,1.4,0,1,0
WEB00000013,C003169,2025-01-09,Android,Social,7,7.3,1,1,1
WEB00000014,C014971,2025-06-08,Android,Referral,4,10.6,0,0,0
WEB00000015,C049160,2023-12-18,Android,Organic,9,9.9,1,0,0
WEB00000016,C014319,2024-09-12,Desktop,Direct,9,13.8,1,1,1
WEB00000017,C009732,2025-02-20,Android,Direct,9,1.2,0,0,0
WEB00000018,C012906,2023-01-25,Desktop,Paid Search,5,8.4,1,0,0
WEB00000019,C045035,2024-04-16,Desktop,Social,6,5.7,1,0,0
WEB00000020,C017585,2024-07-30,iOS,Organic,3,7.9,1,0,0
WEB00000021,C036607,2025-06-03,Android,Paid Search,4,14.1,1,0,0
WEB00000022,C005892,2024-10-07,Desktop,Organic,9,5.9,0,0,0
WEB00000023,C029245,2024-01-12,iOS,Organic,2,9.2,0,0,0
WEB00000024,C001358,2024-10-15,iOS,Organic,9,5.6,0,0,0
WEB00000025,C040913,2024-05-18,Android,Paid Search,3,24.5,0,0,0
WEB00000026,C023443,2023-06-07,iOS,Organic,4,6.6,1,0,0
WEB00000027,C018770,2024-11-30,Android,Direct,3,2.0,0,1,0
WEB00000028,C007064,2024-12-04,Android,Organic,9,8.7,0,0,0
WEB00000029,C030191,2025-09-15,Android,Direct,7,5.7,1,0,0
WEB00000030,C030881,2023-08-30,Desktop,Paid Search,10,31.5,1,1,1
WEB00000031,C001846,2023-03-27,Desktop,Direct,10,5.3,0,0,0
WEB00000032,C046731,2024-07-12,iOS,Organic,12,3.3,1,1,1
WEB00000033,C032100,2025-07-01,Android,Direct,6,12.5,0,1,0
WEB00000034,C005833,2023-02-24,Android,Paid Search,4,17.4,1,1,1
WEB00000035,C015007,2023-01-13,Android,Social,10,5.4,1,0,0
WEB00000036,C019756,2024-11-08,Desktop,Organic,13,6.9,0,0,0
WEB00000037,C009954,2023-09-12,Android,Direct,3,6.6,0,0,0
WEB00000038,C045340,2024-09-02,Android,Paid Search,10,3.6,1,0,0
WEB00000039,C005760,2025-01-14,Android,Paid Search,4,10.9,1,0,0
WEB00000040,C029624,2025-07-23,iOS,Paid Search,5,8.1,0,1,0
WEB00000041,C016968,2024-12-29,iOS,Organic,6,6.9,1,0,0
WEB00000042,C047525,2024-09-12,iOS,Referral,5,10.6,1,0,0
WEB00000043,C004811,2025-02-14,Tablet,Direct,8,2.7,1,1,1
WEB00000044,C030953,2024-02-21,Android,Organic,5,16.0,0,0,0
WEB00000045,C046545,2024-08-21,Android,Social,6,22.0,1,1,1
WEB00000046,C009264,2023-07-19,iOS,Direct,9,4.7,1,0,0
WEB00000047,C012623,2023-02-24,Android,Social,9,9.8,1,0,0
WEB00000048,C038450,2025-03-14,Android,Direct,5,2.3,1,1,1
WEB00000049,C014262,2023-11-27,Desktop,Direct,6,7.3,0,0,0
WEB00000050,C048092,2024-09-13,Android,Referral,10,2.8,1,0,0
WEB00000051,C024226,2023-09-10,Android,Organic,5,2.8,0,0,0
WEB00000052,C041939,2024-01-08,Android,Direct,9,24.9,1,0,0
WEB00000053,C019032,2024-05-21,Android,Direct,12,2.9,0,1,0
WEB00000054,C028674,2024-11-26,Android,Social,4,8.3,0,0,0
WEB00000055,C000870,2024-05-16,Desktop,Referral,10,8.3,1,0,0
WEB00000056,C005108,2023-12-10,iOS,Paid Search,6,5.0,0,0,0
WEB00000057,C046139,2024-09-18,Desktop,Organic,2,0.6,0,0,0
WEB00000058,C012060,2025-05-29,Android,Direct,5,5.1,1,0,0
WEB00000059,C014142,2024-12-10,Android,Organic,3,2.2,0,0,0
WEB00000060,C009870,2024-05-25,Android,Paid Search,6,2.2,0,0,0
WEB00000061,C048691,2023-03-15,Android,Organic,4,7.5,0,1,0
WEB00000062,C012424,2023-09-28,Android,Paid Search,7,5.9,0,0,0
WEB00000063,C009874,2025-05-23,Tablet,,5,10.2,0,0,0
WEB00000064,C004546,2025-07-30,Tablet,Organic,13,3.8,0,0,0
WEB00000065,C007808,2025-07-08,Android,Direct,10,4.3,1,0,0
WEB00000066,C032661,2023-02-25,Android,Organic,7,12.1,1,0,0
WEB00000067,C007877,2025-03-11,iOS,Social,6,11.8,1,1,1
WEB00000068,C007668,2024-05-06,Android,Social,4,10.0,0,0,0
WEB00000069,C042914,2025-08-20,iOS,Referral,11,7.6,1,1,1
WEB00000070,C041603,2023-11-21,Desktop,Referral,4,6.6,0,0,0
WEB00000071,C023560,2025-04-10,Android,Direct,9,4.6,0,0,0
WEB00000072,C026818,2024-08-09,Desktop,Organic,4,2.6,1,1,1
WEB00000073,C043361,2023-06-24,Desktop,Social,12,12.3,0,0,0
WEB00000074,C042808,2025-08-29,Desktop,Referral,8,19.6,1,1,1
WEB00000075,C011096,2024-03-15,Android,Social,8,2.2,1,1,1
WEB00000076,C021550,2025-10-05,iOS,Direct,10,25.2,0,1,0
WEB00000077,C015152,2024-01-30,Android,Paid Search,7,7.9,1,0,0
WEB00000078,C012531,2025-03-04,iOS,Organic,6,8.3,0,0,0
WEB00000079,C009292,2024-08-12,Android,Organic,5,25.3,0,0,0
WEB00000080,C000580,2024-04-16,Android,Social,6,3.7,1,0,0
WEB00000081,C025343,2025-12-11,iOS,Social,5,7.5,0,0,0
WEB00000082,C033509,2024-02-28,Android,Organic,7,15.4,1,1,1
WEB00000083,C048265,2024-11-25,Android,,3,2.6,0,0,0
WEB00000084,C047564,2023-11-12,Android,Direct,9,3.9,1,0,0
WEB00000085,C002637,2023-11-10,iOS,Direct,7,1.1,1,0,0
WEB00000086,C045585,2024-07-21,Android,Organic,8,14.5,1,1,1
WEB00000087,C047167,2023-03-23,iOS,Direct,6,10.0,1,0,0
WEB00000088,C022241,2025-10-21,Desktop,Paid Search,10,2.2,0,0,0
WEB00000089,C034270,2023-03-19,Android,Referral,9,12.4,0,0,0
WEB00000090,C021067,2024-10-19,Android,Paid Search,8,21.0,1,0,0
WEB00000091,C000860,2025-11-03,Android,Social,4,10.9,0,0,0
WEB00000092,C015966,2024-01-31,Desktop,Organic,9,7.3,1,0,0
WEB00000093,C048878,2024-04-16,iOS,Organic,7,2.3,0,0,0
WEB00000094,C008993,2025-08-18,Android,Organic,12,3.9,0,0,0
WEB00000095,C039096,2025-12-22,iOS,Direct,9,21.6,1,1,1
WEB00000096,C007996,2025-07-29,iOS,Organic,9,10.3,0,0,0
WEB00000097,C047923,2023-07-16,Desktop,Paid Search,5,11.6,1,1,1
WEB00000098,C008807,2024-02-19,Android,Organic,12,1.9,1,0,0
WEB00000099,C044880,2025-02-20,Android,Paid Search,3,26.4,0,1,0
WEB00000100,C003674,2024-10-03,Android,Referral,6,7.7,0,0,0
WEB00000101,C023470,2023-05-28,Desktop,Social,10,3.2,1,0,0
WEB00000102,C025930,2024-10-15,iOS,Direct,11,19.6,0,0,0
