"Session_ID","Customer_ID","Pages_Viewed","Session_Duration","Device_Type","Traffic_Source","Age","Annual_Income","Loyalty_Tier","App_User_Flag","Tenure_Months","Total_Orders","Total_Revenue","Avg_Order_Value","Recency_Days","Campaign_Response_Rate","Web_Purchase_Rate","Purchase_After_Cart"
"WEB00002006","C000048",8,8.9,"Desktop","Organic",26,1930953.0,"Bronze",1,45,7,89764.52,12823.5,365,0.0,0.0,0
"WEB00003006","C000073",8,15.2,"Android","",52,941008.0,"Gold",1,26,7,179754.23,25679.18,365,0.0,0.571,0
"WEB00000296","C000134",5,5.9,"Tablet","Direct",36,458330.0,"Silver",0,98,5,73284.4,14656.88,365,0.5,0.571,0
"WEB00001146","C000162",8,5.9,"Tablet","Referral",41,751866.0,"Bronze",1,45,9,345391.55,38376.84,365,0.0,0.2,0
"WEB00001057","C000183",7,17.1,"iOS","Social",32,779665.0,"Silver",1,4,3,34643.03,11547.68,365,0.0,0.2,1
"WEB00001230","C000204",10,3.8,"Android","Social",44,325143.0,"Silver",1,112,7,76104.04,10872.01,365,0.5,0.308,0
"WEB00002918","C000208",6,4.4,"Desktop","Paid Search",46,295262.0,"Bronze",0,85,8,114517.77,14314.72,365,0.0,0.25,0
"WEB00002273","C000212",7,8.7,"Android","Paid Search",34,1654728.0,"Silver",1,102,6,26922.4,4487.07,365,0.0,0.385,0
"WEB00000345","C000228",7,12.3,"Android","Paid Search",44,230716.0,"Bronze",1,81,5,173796.79,34759.36,365,0.0,0.375,0
"WEB00001658","C000271",11,7.8,"Android","Organic",39,837345.0,"Bronze",0,16,3,114965.16,38321.72,365,0.0,0.111,0
"WEB00002163","C000288",7,6.9,"Desktop","Paid Search",37,903055.0,"Bronze",0,41,8,249599.55,31199.94,365,0.0,0.5,1
"WEB00001753","C000289",8,5.0,"Tablet","Organic",18,120000.0,"Gold",1,40,6,56883.64,9480.61,365,0.333,0.375,0
"WEB00002675","C000326",7,5.5,"Android","Paid Search",48,298925.0,"Bronze",1,85,7,99717.74,14245.39,365,0.0,0.143,0
"WEB00002226","C000353",8,6.6,"Android","Organic",30,704929.0,"Bronze",1,90,5,78384.16,15676.83,365,0.0,0.0,0
"WEB00000284","C000461",6,6.6,"Android","Social",24,829983.0,"Bronze",1,30,3,23563.82,7854.61,365,0.0,0.5,0
"WEB00001031","C000495",7,2.9,"iOS","Direct",44,551950.0,"Silver",1,49,5,138612.56,27722.51,365,0.0,0.167,0
"WEB00002327","C000528",10,5.8,"Android","Organic",34,1376951.0,"Silver",1,16,2,11009.32,5504.66,365,0.0,0.0,0
